,g,date,unnamed: 2_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 23_level_1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,season,team
14,15,2024-01-09,,South Carolina,W,74,47,26,54,.481,15,34,.441,7,9,.778,6,32,15,10,4,14,12,,17,55,.309,5,25,.200,8,9,.889,12,29,8,8,2,16,13,2024,alabama
15,16,2024-01-13,@,Mississippi State,W,82,74,25,58,.431,10,28,.357,22,26,.846,10,32,9,7,5,13,20,,26,61,.426,7,17,.412,15,27,.556,13,34,12,7,7,12,19,2024,alabama
16,17,2024-01-16,,Missouri,W,93,75,30,57,.526,13,27,.481,20,21,.952,11,34,18,6,3,13,16,,26,53,.491,8,21,.381,15,20,.750,6,21,10,9,0,10,22,2024,alabama
17,18,2024-01-20,@,Tennessee,L,71,91,25,56,.446,4,21,.190,17,24,.708,4,31,9,5,4,22,21,,32,66,.485,10,28,.357,17,25,.680,9,29,21,15,6,6,19,2024,alabama
18,19,2024-01-24,,Auburn,W,79,75,26,68,.382,11,30,.367,16,19,.842,14,43,13,6,3,14,19,,28,67,.418,5,25,.200,14,18,.778,11,38,11,10,10,11,20,2024,alabama
19,20,2024-01-27,,LSU,W,109,88,35,63,.556,14,34,.412,25,28,.893,10,37,23,8,4,12,19,,30,71,.423,11,28,.393,17,27,.630,12,30,13,7,4,10,24,2024,alabama
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,alabama
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,alabama
22,21,2024-01-31,@,Georgia,W,85,76,32,60,.533,8,23,.348,13,19,.684,7,24,14,13,5,9,17,,27,61,.443,7,17,.412,15,18,.833,13,34,10,8,3,19,18,2024,alabama
23,22,2024-02-03,,Mississippi State,W,99,67,37,83,.446,15,48,.313,10,10,1.000,19,47,19,13,5,10,23,,22,55,.400,4,16,.250,19,32,.594,11,33,11,7,0,17,16,2024,alabama
24,23,2024-02-07,@,Auburn,L,81,99,22,59,.373,9,26,.346,28,35,.800,13,34,8,2,5,15,33,,27,64,.422,5,19,.263,40,50,.800,11,36,15,13,12,5,28,2024,alabama
25,24,2024-02-10,@,LSU,W,109,92,38,81,.469,18,44,.409,15,17,.882,15,38,25,8,2,8,18,,33,60,.550,7,19,.368,19,26,.731,3,25,15,5,4,12,16,2024,alabama
26,25,2024-02-17,,Texas A&M,W,100,75,37,71,.521,18,41,.439,8,13,.615,12,35,20,9,6,12,20,,28,74,.378,4,23,.174,15,23,.652,23,43,6,7,2,14,15,2024,alabama
27,26,2024-02-21,,Florida,W (1 OT),98,93,37,84,.440,8,32,.250,16,20,.800,20,51,19,6,8,7,17,,35,81,.432,9,30,.300,14,18,.778,13,39,21,4,7,9,20,2024,alabama
28,27,2024-02-24,@,Kentucky,L,95,117,34,60,.567,6,17,.353,21,27,.778,8,27,14,5,1,16,21,,41,65,.631,13,24,.542,22,26,.846,7,24,24,11,7,10,21,2024,alabama
29,28,2024-02-28,@,Ole Miss,W,103,88,35,70,.500,15,37,.405,18,22,.818,9,30,25,8,2,7,21,,28,54,.519,8,22,.364,24,31,.774,6,28,16,3,4,14,18,2024,alabama
30,29,2024-03-02,,Tennessee,L,74,81,23,60,.383,9,37,.243,19,25,.760,10,40,16,4,2,12,24,,24,66,.364,12,40,.300,21,29,.724,12,39,14,7,4,6,22,2024,alabama
31,30,2024-03-05,@,Florida,L,87,105,31,70,.443,5,23,.217,20,25,.800,14,37,6,5,1,13,30,,29,62,.468,7,19,.368,40,46,.870,10,36,13,10,4,8,23,2024,alabama
32,31,2024-03-09,,Arkansas,W (1 OT),92,88,33,75,.440,9,30,.300,17,25,.680,9,37,19,9,8,11,19,,30,67,.448,4,20,.200,24,27,.889,8,36,9,6,9,15,20,2024,alabama
33,32,2024-03-15,N,Florida,L,88,102,33,71,.465,6,25,.240,16,23,.696,9,33,15,3,4,8,25,,32,63,.508,7,20,.350,31,36,.861,7,36,9,5,4,7,22,2024,alabama
34,33,2024-03-22,N,College of Charleston,W,109,96,36,60,.600,13,23,.565,24,37,.649,4,28,17,5,2,10,22,,32,78,.410,10,33,.303,22,29,.759,14,37,16,8,3,10,22,2024,alabama
35,34,2024-03-24,N,Grand Canyon,W,72,61,24,65,.369,8,31,.258,16,22,.727,15,44,13,10,9,12,26,,18,56,.321,2,20,.100,23,37,.622,12,36,5,10,8,13,21,2024,alabama
36,35,2024-03-28,N,UNC,W,89,87,32,67,.478,11,26,.423,14,20,.700,14,37,13,4,7,10,18,,30,78,.385,12,32,.375,15,17,.882,17,38,17,8,3,7,18,2024,alabama
37,36,2024-03-30,N,Clemson,W,89,82,29,62,.468,16,36,.444,15,22,.682,14,40,20,3,6,12,17,,33,69,.478,8,26,.308,8,16,.500,8,28,15,6,2,6,20,2024,alabama
38,37,2024-04-06,N,UConn,L,72,86,26,58,.448,11,23,.478,9,11,.818,7,28,9,2,5,7,15,,31,62,.500,10,25,.400,14,18,.778,10,35,20,4,8,4,17,2024,alabama
0,1,2023-11-09,@,North Alabama,L,67,83,20,56,.357,4,14,.286,23,36,.639,12,34,9,9,2,17,20,,26,54,.481,8,23,.348,23,27,.852,6,32,14,8,2,16,27,2024,alabama am
1,2,2023-11-18,@,Lipscomb,L,81,106,29,69,.420,6,21,.286,17,27,.630,16,37,12,10,4,15,16,,36,64,.563,18,32,.563,16,19,.842,6,30,26,10,7,14,18,2024,alabama am
2,3,2023-11-21,@,Auburn,L,54,84,19,57,.333,3,15,.200,13,17,.765,6,25,6,8,3,13,26,,26,55,.473,6,24,.250,26,36,.722,13,45,19,9,6,13,17,2024,alabama am
3,4,2023-11-24,N,ETSU,L,71,82,22,51,.431,6,13,.462,21,25,.840,7,29,11,5,2,14,26,,25,56,.446,13,31,.419,19,29,.655,9,31,15,7,2,11,22,2024,alabama am
4,5,2023-11-25,@,Cleveland State,L,59,86,20,55,.364,1,14,.071,18,31,.581,14,26,14,10,1,20,20,,28,50,.560,8,19,.421,22,26,.846,10,31,16,14,6,16,21,2024,alabama am
