,g,date,unnamed: 2_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 23_level_1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,season,team
9,10,2023-12-10,,Winthrop,L,68,85,26,60,.433,9,21,.429,7,13,.538,12,27,16,9,4,13,16,,29,50,.580,9,16,.563,18,22,.818,8,29,10,4,1,17,14,2024,arkansas little rock
10,11,2023-12-13,,UTSA,W,93,84,29,58,.500,9,18,.500,26,30,.867,7,32,12,4,2,8,20,,25,60,.417,14,34,.412,20,28,.714,9,34,14,3,4,10,22,2024,arkansas little rock
11,12,2023-12-18,,Murray State,W,80,66,29,55,.527,8,22,.364,14,19,.737,8,42,17,3,7,18,14,,24,66,.364,6,24,.250,12,18,.667,9,24,13,8,6,7,18,2024,arkansas little rock
12,13,2023-12-21,,Jacksonville State,L,60,90,18,64,.281,4,23,.174,20,26,.769,10,31,6,4,6,7,22,,34,67,.507,6,14,.429,16,23,.696,14,51,10,2,5,10,20,2024,arkansas little rock
13,14,2023-12-28,@,Tennessee Tech,W,81,75,29,71,.408,8,27,.296,15,18,.833,13,36,15,11,3,9,21,,27,56,.482,4,19,.211,17,27,.630,9,35,15,7,1,16,14,2024,arkansas little rock
14,15,2023-12-30,@,Tennessee State,L,82,90,28,64,.438,2,21,.095,24,30,.800,11,31,6,3,4,12,26,,28,52,.538,9,18,.500,25,29,.862,3,24,16,6,4,13,22,2024,arkansas little rock
15,16,2024-01-04,,SIU-Edwardsville,W,88,80,34,59,.576,7,14,.500,13,21,.619,8,30,24,5,5,11,16,,30,67,.448,9,28,.321,11,13,.846,10,30,13,6,1,14,21,2024,arkansas little rock
16,17,2024-01-06,,Eastern Illinois,L,88,90,31,56,.554,12,23,.522,14,18,.778,8,31,18,2,5,16,16,,32,62,.516,11,20,.550,15,18,.833,5,24,14,9,1,8,16,2024,arkansas little rock
17,18,2024-01-13,@,UT-Martin,L,72,77,27,64,.422,12,28,.429,6,11,.545,9,33,17,4,10,8,23,,22,56,.393,6,18,.333,27,32,.844,8,35,13,4,2,9,13,2024,arkansas little rock
18,19,2024-01-18,@,Southern Indiana,W,77,75,26,49,.531,4,16,.250,21,37,.568,5,36,12,9,2,15,23,,19,59,.322,9,28,.321,28,30,.933,7,31,12,8,0,10,27,2024,arkansas little rock
19,20,2024-01-25,,Lindenwood,W,80,66,33,60,.550,6,14,.429,8,10,.800,5,27,20,5,3,6,15,,21,49,.429,7,20,.350,17,22,.773,7,30,10,3,2,12,11,2024,arkansas little rock
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,arkansas little rock
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,arkansas little rock
22,21,2024-01-27,,Southeast Missouri State,W,66,61,27,55,.491,1,11,.091,11,18,.611,12,38,16,10,5,13,6,,25,60,.417,8,28,.286,3,6,.500,8,27,12,6,1,17,17,2024,arkansas little rock
23,22,2024-02-01,@,SIU-Edwardsville,L,66,68,28,55,.509,9,16,.563,1,2,.500,4,29,18,4,7,18,15,,22,57,.386,7,21,.333,17,21,.810,5,18,10,6,6,8,10,2024,arkansas little rock
24,23,2024-02-03,@,Eastern Illinois,W,71,47,26,55,.473,5,14,.357,14,16,.875,12,45,17,4,4,11,10,,19,66,.288,5,28,.179,4,6,.667,11,26,11,6,2,6,16,2024,arkansas little rock
25,24,2024-02-06,,UT-Martin,W,77,57,28,67,.418,7,21,.333,14,16,.875,18,46,16,5,8,9,15,,24,68,.353,3,23,.130,6,9,.667,10,32,11,6,1,10,15,2024,arkansas little rock
26,25,2024-02-08,@,Western Illinois,W,63,60,27,53,.509,4,12,.333,5,6,.833,2,25,7,6,6,14,14,,25,63,.397,5,22,.227,5,12,.417,16,35,12,11,6,12,9,2024,arkansas little rock
27,26,2024-02-15,,Morehead State,W,69,68,24,56,.429,5,15,.333,16,18,.889,10,30,12,9,5,9,11,,27,58,.466,10,25,.400,4,4,1.000,9,31,13,5,3,14,17,2024,arkansas little rock
28,27,2024-02-17,,Southern Indiana,W,80,62,29,60,.483,5,14,.357,17,21,.810,9,39,16,3,6,7,19,,22,63,.349,5,18,.278,13,19,.684,12,33,9,3,2,10,19,2024,arkansas little rock
29,28,2024-02-22,@,Southeast Missouri State,W,83,61,32,59,.542,6,17,.353,13,16,.813,11,41,16,1,8,10,20,,20,60,.333,4,15,.267,17,26,.654,9,23,10,5,1,4,15,2024,arkansas little rock
30,29,2024-02-24,@,Lindenwood,W,82,73,28,45,.622,3,12,.250,23,29,.793,8,39,16,5,7,18,17,,25,64,.391,11,25,.440,12,16,.750,9,20,10,7,1,8,24,2024,arkansas little rock
31,30,2024-02-29,,Tennessee State,W,85,60,30,57,.526,6,14,.429,19,22,.864,9,32,16,7,5,12,17,,20,51,.392,4,21,.190,16,19,.842,4,25,10,6,4,18,20,2024,arkansas little rock
32,31,2024-03-02,,Tennessee Tech,W,81,43,28,50,.560,5,13,.385,20,23,.870,5,33,17,12,4,9,11,,15,50,.300,8,26,.308,5,10,.500,8,25,9,4,3,19,16,2024,arkansas little rock
33,32,2024-03-08,N,Western Illinois,W,82,57,34,64,.531,4,11,.364,10,12,.833,10,37,20,8,8,7,17,,20,67,.299,6,27,.222,11,18,.611,15,35,12,7,5,12,12,2024,arkansas little rock
34,33,2024-03-09,N,Morehead State,L,55,69,23,56,.411,7,16,.438,2,5,.400,6,23,8,3,3,11,9,,25,50,.500,9,24,.375,10,13,.769,4,29,12,8,4,8,7,2024,arkansas little rock
35,34,2024-03-24,N,Fairfield,L,75,82,30,60,.500,10,22,.455,5,7,.714,7,32,17,5,2,16,13,,25,57,.439,13,34,.382,19,24,.792,5,29,18,10,2,9,12,2024,arkansas little rock
0,1,2023-11-06,@,Portland,L,73,78,25,69,.362,8,29,.276,15,23,.652,13,34,14,8,3,14,26,,23,53,.434,7,30,.233,25,31,.806,6,35,13,5,4,16,20,2024,long beach state
1,2,2023-11-11,@,DePaul,W,77,73,28,61,.459,4,14,.286,17,26,.654,12,39,11,4,3,14,18,,26,59,.441,7,21,.333,14,20,.700,5,25,16,6,8,11,21,2024,long beach state
2,3,2023-11-14,@,San Diego State,L,76,88,27,54,.500,7,17,.412,15,20,.750,3,22,10,12,4,18,25,,28,58,.483,9,24,.375,23,30,.767,10,32,20,11,3,15,19,2024,long beach state
3,4,2023-11-17,@,Michigan,W,94,86,37,66,.561,8,17,.471,12,17,.706,11,28,12,10,7,12,17,,31,66,.470,9,28,.321,15,25,.600,13,34,17,4,1,15,18,2024,long beach state
4,5,2023-11-20,N,Illinois State,L,52,61,23,65,.354,4,20,.200,2,5,.400,15,39,10,8,4,21,23,,20,57,.351,8,27,.296,13,27,.481,12,35,12,11,2,18,13,2024,long beach state
5,6,2023-11-21,N,Iona,W,80,76,27,57,.474,7,18,.389,19,30,.633,6,33,15,14,5,15,19,,28,65,.431,7,29,.241,13,18,.722,11,35,15,9,1,17,23,2024,long beach state
6,7,2023-11-22,N,Louisiana,L,82,92,33,61,.541,5,11,.455,11,17,.647,9,30,18,5,4,10,12,,34,68,.500,18,37,.486,6,8,.750,12,30,20,5,3,8,19,2024,long beach state
7,8,2023-11-26,@,Montana State,W,75,69,29,61,.475,2,13,.154,15,20,.750,6,28,13,10,2,4,12,,27,53,.509,13,30,.433,2,4,.500,2,30,15,3,3,15,19,2024,long beach state
8,9,2023-12-02,,Sacramento State,W,83,73,33,68,.485,6,23,.261,11,19,.579,11,37,23,6,2,8,20,,24,58,.414,8,28,.286,17,26,.654,12,37,15,4,4,15,22,2024,long beach state
9,10,2023-12-06,,Life Pacific,W,88,66,35,76,.461,5,26,.192,13,25,.520,14,49,21,14,3,17,10,,28,71,.394,9,30,.300,1,2,.500,6,33,15,14,3,22,17,2024,long beach state
10,11,2023-12-10,@,USC,W (1 OT),84,79,24,57,.421,6,19,.316,30,40,.750,9,35,13,9,8,16,22,,26,64,.406,7,31,.226,20,36,.556,16,40,17,13,4,18,24,2024,long beach state
11,12,2023-12-19,,Cal St Dominguez Hills,W,107,78,34,68,.500,7,22,.318,32,38,.842,13,42,21,13,3,14,20,,27,68,.397,9,36,.250,15,21,.714,11,33,15,8,1,17,24,2024,long beach state
12,13,2023-12-28,@,Cal State Fullerton,W,81,71,27,61,.443,5,16,.313,22,33,.667,19,53,11,6,5,17,17,,26,68,.382,9,25,.360,10,18,.556,10,31,10,11,1,9,25,2024,long beach state
13,14,2023-12-30,,Cal State Northridge,L,68,84,24,66,.364,2,22,.091,18,25,.720,6,27,10,13,2,15,20,,30,62,.484,7,21,.333,17,25,.680,10,38,24,8,5,18,20,2024,long beach state
14,15,2024-01-04,@,Cal Poly,W,89,82,31,62,.500,2,7,.286,25,39,.641,19,52,17,8,5,16,18,,28,69,.406,13,29,.448,13,17,.765,7,24,17,8,1,11,25,2024,long beach state
15,16,2024-01-06,,UC-Riverside,W,83,75,30,60,.500,2,12,.167,21,36,.583,14,44,15,7,4,14,20,,28,73,.384,6,36,.167,13,24,.542,14,37,12,5,0,12,26,2024,long beach state
16,17,2024-01-11,@,UC-San Diego,L,74,88,27,58,.466,6,15,.400,14,17,.824,4,27,16,7,2,11,15,,30,61,.492,16,28,.571,12,14,.857,7,32,19,3,1,12,19,2024,long beach state
17,18,2024-01-13,@,UCSB,L,76,85,28,60,.467,12,24,.500,8,12,.667,11,28,23,8,2,15,18,,26,50,.520,10,20,.500,23,27,.852,8,28,17,8,2,12,12,2024,long beach state
18,19,2024-01-18,,Hawaii,W,79,71,31,55,.564,6,8,.750,11,15,.733,7,29,23,8,1,6,13,,23,56,.411,12,38,.316,13,16,.813,9,27,19,3,0,9,14,2024,long beach state
19,20,2024-01-25,,UC-Irvine,L,61,72,20,61,.328,5,16,.313,16,24,.667,12,35,11,7,10,18,16,,26,63,.413,8,25,.320,12,13,.923,5,34,17,13,6,13,23,2024,long beach state
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,long beach state
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,long beach state
22,21,2024-01-27,@,UC-Riverside,W,65,53,23,62,.371,4,22,.182,15,18,.833,8,35,14,6,6,6,11,,20,64,.313,10,37,.270,3,7,.429,11,34,12,4,0,11,14,2024,long beach state
23,22,2024-02-01,@,Cal State Bakersfield,L (1 OT),76,82,24,55,.436,3,12,.250,25,33,.758,8,29,14,8,6,13,20,,26,58,.448,11,20,.550,19,21,.905,7,28,13,8,5,16,28,2024,long beach state
24,23,2024-02-03,,UC-San Diego,W,85,76,29,61,.475,8,16,.500,19,24,.792,14,36,17,3,5,7,16,,27,57,.474,12,29,.414,10,16,.625,9,26,15,4,1,7,19,2024,long beach state
25,24,2024-02-10,,Cal Poly,W,77,68,25,57,.439,7,19,.368,20,28,.714,8,35,17,9,1,12,11,,25,61,.410,11,27,.407,7,8,.875,4,29,13,10,4,17,21,2024,long beach state
26,25,2024-02-15,@,UC-Davis,W,78,74,29,63,.460,7,19,.368,13,17,.765,15,42,14,8,7,18,17,,25,67,.373,10,27,.370,14,21,.667,13,27,14,13,3,12,18,2024,long beach state
27,26,2024-02-17,@,Cal State Northridge,W,87,73,31,66,.470,9,26,.346,16,23,.696,8,34,21,8,5,10,18,,26,62,.419,7,26,.269,14,19,.737,8,32,17,6,2,16,22,2024,long beach state
28,27,2024-02-22,,Cal State Bakersfield,W,79,66,25,56,.446,4,12,.333,25,28,.893,6,25,18,9,9,9,17,,22,58,.379,6,18,.333,16,20,.800,16,38,13,5,4,16,27,2024,long beach state
29,28,2024-02-25,@,Hawaii,L,65,73,25,58,.431,0,10,.000,15,22,.682,4,29,5,9,1,10,19,,24,56,.429,10,28,.357,15,19,.789,5,29,12,4,1,11,20,2024,long beach state
30,29,2024-02-29,,Cal State Fullerton,L,71,76,24,62,.387,8,27,.296,15,18,.833,13,38,17,4,5,13,14,,25,54,.463,8,22,.364,18,23,.783,4,26,16,5,4,6,19,2024,long beach state
31,30,2024-03-02,@,UC-Irvine,L,61,82,20,65,.308,3,18,.167,18,28,.643,16,41,12,5,3,11,15,,31,64,.484,7,22,.318,13,18,.722,10,40,20,8,3,10,21,2024,long beach state
32,31,2024-03-07,,UCSB,L,74,76,28,67,.418,5,19,.263,13,22,.591,13,29,20,10,4,11,14,,26,48,.542,9,16,.563,15,16,.938,3,26,17,7,3,17,20,2024,long beach state
33,32,2024-03-09,,UC-Davis,L,78,88,29,64,.453,3,16,.188,17,23,.739,17,37,12,9,4,12,20,,27,49,.551,10,16,.625,24,27,.889,4,23,16,6,2,12,22,2024,long beach state
34,33,2024-03-14,N,UC-Riverside,W,86,67,30,55,.545,8,19,.421,18,27,.667,7,38,22,2,4,10,22,,21,64,.328,8,32,.250,17,21,.810,8,26,10,5,1,5,21,2024,long beach state
35,34,2024-03-15,N,UC-Irvine,W,83,79,27,60,.450,7,18,.389,22,25,.880,10,35,16,6,6,9,16,,32,65,.492,5,14,.357,10,19,.526,9,31,16,4,0,7,20,2024,long beach state
36,35,2024-03-16,N,UC-Davis,W,74,70,27,70,.386,6,18,.333,14,16,.875,12,38,13,6,3,4,15,,25,64,.391,6,25,.240,14,15,.933,8,37,13,4,4,8,16,2024,long beach state
37,36,2024-03-21,N,Arizona,L,65,85,24,72,.333,3,17,.176,14,22,.636,13,44,11,6,3,12,14,,30,72,.417,13,35,.371,12,17,.706,11,44,19,10,8,9,17,2024,long beach state
0,1,2023-11-08,,Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,long island university
1,2,2023-11-10,,Air Force,L,67,82,23,61,.377,6,17,.353,15,24,.625,11,32,19,7,3,10,19,,28,55,.509,10,23,.435,16,23,.696,8,37,22,4,7,12,20,2024,long island university
2,3,2023-11-13,@,Pepperdine,L,53,88,15,53,.283,4,15,.267,19,25,.760,2,29,5,9,0,15,22,,27,67,.403,9,19,.474,25,28,.893,13,49,14,6,3,13,17,2024,long island university
3,4,2023-11-15,@,UCLA,L,58,78,18,51,.353,6,19,.316,16,21,.762,2,15,7,8,1,12,23,,30,54,.556,0,6,.000,18,25,.720,10,39,15,9,7,14,18,2024,long island university
4,5,2023-11-21,@,Columbia,L,67,77,26,63,.413,6,23,.261,9,13,.692,6,29,11,3,4,16,27,,22,50,.440,5,17,.294,28,39,.718,8,37,14,7,3,14,15,2024,long island university
5,6,2023-11-24,N,Texas A&M-Corpus Christi,W,83,68,25,55,.455,12,29,.414,21,25,.840,6,30,13,6,3,14,21,,23,64,.359,1,15,.067,21,30,.700,13,35,5,7,0,11,23,2024,long island university
6,7,2023-11-25,@,Northern Kentucky,L,64,72,27,54,.500,6,17,.353,4,7,.571,2,28,10,7,0,18,19,,25,58,.431,3,17,.176,19,26,.731,8,29,14,13,5,9,10,2024,long island university
7,8,2023-12-02,@,Florida International,L,59,74,22,49,.449,4,15,.267,11,19,.579,6,36,4,4,3,27,16,,28,65,.431,4,20,.200,14,22,.636,9,29,15,19,5,9,16,2024,long island university
8,9,2023-12-06,@,Miami (FL),L,49,97,19,62,.306,3,23,.130,8,11,.727,10,32,12,10,3,16,15,,37,65,.569,11,26,.423,12,19,.632,10,43,19,8,4,12,10,2024,long island university
9,10,2023-12-12,@,UMass-Lowell,L,65,78,27,66,.409,6,21,.286,5,9,.556,7,27,11,6,2,4,22,,30,61,.492,2,14,.143,16,24,.667,16,48,9,3,0,13,10,2024,long island university
10,11,2023-12-16,@,Rutgers,L,61,83,25,60,.417,6,20,.300,5,8,.625,5,30,13,7,3,17,20,,33,67,.493,4,20,.200,13,26,.500,12,41,18,9,8,9,8,2024,long island university
11,12,2023-12-23,@,Mount St. Mary's,L,59,87,18,52,.346,1,11,.091,22,27,.815,4,24,7,5,0,13,16,,31,59,.525,10,24,.417,15,23,.652,6,38,22,7,5,9,19,2024,long island university
12,13,2023-12-28,,Albany (NY),L,69,86,25,56,.446,3,17,.176,16,24,.667,4,22,12,16,3,19,22,,29,56,.518,5,15,.333,23,31,.742,13,41,16,16,5,22,16,2024,long island university
13,14,2024-01-04,,Wagner,W,69,67,27,60,.450,8,23,.348,7,12,.583,9,38,21,4,2,9,15,,25,60,.417,6,20,.300,11,16,.688,9,32,18,4,0,7,13,2024,long island university
14,15,2024-01-06,@,Stonehill,W,73,68,26,65,.400,6,23,.261,15,19,.789,12,40,9,7,3,12,16,,25,60,.417,9,30,.300,9,13,.692,3,28,10,9,3,10,16,2024,long island university
15,16,2024-01-13,@,Sacred Heart,L,55,89,20,53,.377,5,17,.294,10,14,.714,4,24,16,0,3,15,8,,36,62,.581,9,19,.474,8,11,.727,3,34,21,8,5,6,12,2024,long island university
16,17,2024-01-19,@,Saint Francis (PA),L,66,72,21,53,.396,4,15,.267,20,27,.741,8,29,8,2,4,9,20,,26,59,.441,7,19,.368,13,19,.684,12,32,16,6,5,8,18,2024,long island university
17,18,2024-01-21,,Central Connecticut,L,63,72,25,57,.439,4,15,.267,9,18,.500,6,23,15,4,4,7,18,,23,57,.404,6,23,.261,20,25,.800,11,37,13,6,3,6,15,2024,long island university
18,19,2024-01-25,,Stonehill,W,63,60,23,52,.442,7,22,.318,10,11,.909,13,41,13,3,6,16,14,,20,55,.364,9,27,.333,11,14,.786,8,24,16,8,2,7,13,2024,long island university
19,20,2024-01-27,@,Le Moyne,L,74,87,28,55,.509,8,15,.533,10,14,.714,7,29,11,4,0,10,11,,31,61,.508,11,30,.367,14,18,.778,9,29,14,6,3,7,12,2024,long island university
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,long island university
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,long island university
22,21,2024-02-01,@,FDU,L,75,82,27,60,.450,6,17,.353,15,22,.682,7,38,8,5,1,18,18,,29,66,.439,10,28,.357,14,25,.560,8,38,20,16,3,10,23,2024,long island university
23,22,2024-02-03,,Saint Francis (PA),W,70,67,28,62,.452,6,14,.429,8,14,.571,10,35,17,9,7,10,25,,21,51,.412,6,18,.333,19,32,.594,10,38,16,6,5,13,18,2024,long island university
24,23,2024-02-08,,Merrimack,L (1 OT),79,82,28,65,.431,7,18,.389,16,34,.471,15,38,24,11,8,20,31,,25,57,.439,3,15,.200,29,45,.644,10,38,8,13,5,21,26,2024,long island university
25,24,2024-02-10,,Sacred Heart,W,75,58,26,52,.500,9,19,.474,14,21,.667,5,35,17,7,7,13,21,,19,58,.328,4,19,.211,16,24,.667,7,31,8,6,3,11,16,2024,long island university
26,25,2024-02-15,,FDU,L (1 OT),82,84,32,68,.471,4,14,.286,14,19,.737,7,38,23,7,7,12,17,,32,72,.444,4,19,.211,16,21,.762,10,36,21,9,7,12,19,2024,long island university
27,26,2024-02-17,@,Merrimack,L,68,83,24,55,.436,7,16,.438,13,21,.619,9,33,10,8,4,21,23,,27,53,.509,7,17,.412,22,30,.733,5,26,13,13,4,13,18,2024,long island university
28,27,2024-02-22,,Le Moyne,W,76,64,31,68,.456,6,18,.333,8,15,.533,11,38,21,7,1,8,17,,23,57,.404,6,27,.222,12,19,.632,7,33,13,6,4,12,15,2024,long island university
29,28,2024-02-25,@,Wagner,L,57,72,18,54,.333,1,10,.100,20,28,.714,12,33,9,5,3,14,20,,25,55,.455,5,18,.278,17,23,.739,10,32,14,9,4,9,21,2024,long island university
30,29,2024-02-29,@,Central Connecticut,L,64,78,26,66,.394,3,13,.231,9,17,.529,13,37,10,5,2,11,19,,27,55,.491,8,18,.444,16,30,.533,7,34,13,8,8,10,14,2024,long island university
31,30,2024-03-01,@,Central Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,long island university
32,31,2024-03-06,@,Merrimack,L,66,72,26,64,.406,3,10,.300,11,13,.846,13,38,7,11,1,17,22,,22,54,.407,9,25,.360,19,22,.864,7,30,11,10,5,14,11,2024,long island university
0,1,2023-11-06,@,St. Bonaventure,L,69,73,24,61,.393,3,17,.176,18,25,.720,18,40,8,4,2,12,14,,27,59,.458,11,31,.355,8,10,.800,7,27,17,3,6,8,18,2024,longwood
1,2,2023-11-11,,St. Mary's (MD),W,95,43,36,73,.493,7,22,.318,16,22,.727,23,50,13,7,4,6,14,,17,47,.362,4,15,.267,5,8,.625,4,16,8,2,2,17,14,2024,longwood
2,3,2023-11-15,@,Maryland-Eastern Shore,W,80,61,30,69,.435,2,13,.154,18,23,.783,14,42,15,6,1,9,20,,21,62,.339,5,20,.250,14,18,.778,9,32,10,1,3,10,19,2024,longwood
3,4,2023-11-18,,North Carolina Central,W,73,66,22,58,.379,5,25,.200,24,31,.774,16,37,9,3,5,7,18,,25,54,.463,6,20,.300,10,15,.667,7,23,9,5,2,9,24,2024,longwood
4,5,2023-11-24,,Delaware State,W (2 OT),84,82,25,61,.410,9,21,.429,25,33,.758,7,30,15,8,5,12,18,,28,70,.400,9,20,.450,17,21,.810,9,36,11,8,3,21,26,2024,longwood
5,6,2023-11-25,,Lamar,W,83,72,29,51,.569,10,21,.476,15,21,.714,7,34,16,11,5,17,21,,24,61,.393,9,23,.391,15,25,.600,15,32,13,10,1,14,18,2024,longwood
6,7,2023-11-26,,Bethune-Cookman,W,69,48,20,49,.408,7,17,.412,22,38,.579,11,39,9,13,3,17,23,,15,45,.333,2,13,.154,16,24,.667,5,26,5,7,2,21,29,2024,longwood
7,8,2023-11-30,,Newport News-Apprentice,W,95,46,38,66,.576,6,18,.333,13,23,.565,16,56,17,12,5,17,17,,16,58,.276,6,25,.240,8,14,.571,2,17,9,9,1,19,22,2024,longwood
8,9,2023-12-03,@,Morgan State,W,88,54,32,62,.516,4,13,.308,20,29,.690,15,41,13,10,1,8,19,,23,53,.434,4,14,.286,4,12,.333,5,25,13,5,1,15,23,2024,longwood
9,10,2023-12-09,@,Delaware State,W,62,61,24,53,.453,8,17,.471,6,11,.545,8,32,16,7,1,23,12,,26,63,.413,2,11,.182,7,8,.875,8,30,14,12,2,15,12,2024,longwood
10,11,2023-12-11,,Gallaudet,W,92,61,34,57,.596,9,23,.391,15,26,.577,17,47,19,6,4,13,13,,22,56,.393,12,31,.387,5,14,.357,3,14,13,7,1,9,18,2024,longwood
11,12,2023-12-13,@,Milwaukee,W,80,67,31,60,.517,7,13,.538,11,19,.579,12,34,18,8,4,9,14,,26,63,.413,8,26,.308,7,10,.700,10,27,12,6,4,12,18,2024,longwood
12,13,2023-12-17,,VMI,W,68,49,31,72,.431,2,18,.111,4,13,.308,15,38,8,15,1,11,14,,18,46,.391,5,18,.278,8,11,.727,5,31,6,6,2,26,16,2024,longwood
13,14,2023-12-20,@,North Carolina Central,L,70,79,24,57,.421,3,20,.150,19,29,.655,13,35,12,5,2,14,24,,20,46,.435,8,21,.381,31,36,.861,4,25,12,7,2,12,23,2024,longwood
14,15,2023-12-30,@,Dayton,L,69,78,27,61,.443,6,15,.400,9,12,.750,11,34,15,3,1,7,16,,27,51,.529,11,27,.407,13,18,.722,4,25,17,7,3,5,14,2024,longwood
15,16,2024-01-03,@,Winthrop,L (1 OT),60,68,23,59,.390,1,16,.063,13,18,.722,8,35,6,8,1,17,28,,20,52,.385,4,25,.160,24,39,.615,12,39,7,9,4,18,20,2024,longwood
16,17,2024-01-06,,Charleston Southern,W,77,56,28,54,.519,7,14,.500,14,19,.737,10,37,13,2,4,14,18,,19,62,.306,4,22,.182,14,19,.737,15,32,5,6,2,10,17,2024,longwood
17,18,2024-01-11,,Radford,L,58,69,25,54,.463,4,14,.286,4,9,.444,12,28,12,6,4,16,16,,28,55,.509,7,20,.350,6,8,.750,6,22,6,9,1,11,13,2024,longwood
18,19,2024-01-13,@,UNC Asheville,L,61,65,25,67,.373,3,12,.250,8,13,.615,18,42,14,8,2,12,23,,20,46,.435,5,14,.357,20,27,.741,4,27,14,4,7,12,15,2024,longwood
19,20,2024-01-17,@,USC Upstate,L,71,73,24,49,.490,5,10,.500,18,29,.621,10,32,9,6,2,11,19,,29,54,.537,8,19,.421,7,13,.538,5,23,12,7,5,7,20,2024,longwood
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,longwood
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,longwood
22,21,2024-01-20,,Presbyterian,W,80,70,24,54,.444,4,12,.333,28,41,.683,18,43,12,5,6,9,23,,26,54,.481,7,23,.304,11,23,.478,7,27,12,6,3,11,27,2024,longwood
23,22,2024-01-24,,Gardner-Webb,L,64,76,20,63,.317,4,15,.267,20,25,.800,17,37,10,7,2,12,16,,27,51,.529,12,13,.923,10,20,.500,7,29,14,3,2,12,20,2024,longwood
24,23,2024-02-01,@,High Point,L,76,93,28,63,.444,3,12,.250,17,22,.773,10,26,17,5,1,8,14,,33,54,.611,11,26,.423,16,18,.889,4,28,20,4,4,12,20,2024,longwood
25,24,2024-02-03,@,Charleston Southern,L,77,83,28,69,.406,4,16,.250,17,28,.607,15,34,10,6,1,11,17,,34,58,.586,5,13,.385,10,15,.667,7,29,13,5,5,13,25,2024,longwood
26,25,2024-02-07,,USC Upstate,L,64,69,22,57,.386,6,20,.300,14,27,.519,10,42,10,5,5,13,16,,26,61,.426,7,25,.280,10,13,.769,5,29,10,9,1,7,18,2024,longwood
27,26,2024-02-10,,Winthrop,W,84,74,27,53,.509,10,21,.476,20,28,.714,12,31,14,6,1,14,32,,21,44,.477,5,19,.263,27,42,.643,8,24,9,7,1,13,25,2024,longwood
28,27,2024-02-17,@,Presbyterian,W,81,73,24,46,.522,6,14,.429,27,35,.771,7,29,12,12,0,13,19,,25,59,.424,6,19,.316,17,23,.739,13,28,16,9,3,15,24,2024,longwood
29,28,2024-02-21,,UNC Asheville,W,80,75,26,59,.441,13,28,.464,15,19,.789,10,28,17,8,2,10,16,,27,52,.519,8,27,.296,13,18,.722,3,26,10,4,3,11,18,2024,longwood
30,29,2024-02-24,@,Radford,L,82,88,30,62,.484,10,26,.385,12,18,.667,8,28,15,6,1,10,20,,26,46,.565,13,24,.542,23,28,.821,4,26,17,3,6,15,18,2024,longwood
